County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status
Yates,Animal,Birds,Wood-Warblers,Setophaga petechia,Yellow Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wood-Warblers,Setophaga pinus,Pine Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wood-Warblers,Setophaga ruticilla,American Redstart,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wood-Warblers,Setophaga virens,Black-throated Green Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wood-Warblers,Vermivora cyanoptera,Blue-winged Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Yates,Animal,Birds,Wrens,Cistothorus palustris,Marsh Wren,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Yates,Animal,Birds,Wrens,Cistothorus platensis,Sedge Wren,not available,Threatened,not listed,S3B,G5,Historically Confirmed
Yates,Animal,Birds,Wrens,Thryothorus ludovicianus,Carolina Wren,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Yates,Animal,Birds,Wrens,Troglodytes aedon,House Wren,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Yates,Animal,Birds,Wrens,Troglodytes hiemalis,Winter Wren,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Yates,Animal,Butterflies and Moths,Butterflies and Skippers,Erynnis persius persius,Persius Duskywing,1918,Endangered,not listed,S1,G5T1T3,Historically Confirmed
Yates,Animal,Fish,"Minnows, Shiners, Suckers",Erimyzon sucetta,Lake Chubsucker,not available,Threatened,not listed,SH,G5,Historically Confirmed
Yates,Animal,Fish,"Minnows, Shiners, Suckers",Notropis heterodon,Blackchin Shiner,1970,not listed,not listed,S2,G5,Historically Confirmed
Yates,Animal,Fish,"Minnows, Shiners, Suckers",Notropis heterolepis,Blacknose Shiner,1985,not listed,not listed,S2S3,G5,Historically Confirmed
Yates,Animal,Mammals,Bats,Lasionycteris noctivagans,Silver-haired Bat,not available,not listed,not listed,S2S3B,G3G4,Historically Confirmed
